Page,URL,Rect,Context
1,https://www.facebook.com/share/p/1Bjs3UAUhy/,"(45.58296203613281, 300.56201171875, 69.62566375732422, 310.6852722167969)","El Objetivo, ra Portal, Agend Poder Tv, Mír"
1,https://www.facebook.com/share/p/166GMtvBG4/,"(75.31997680664062, 300.56201171875, 179.7158966064453, 310.6852722167969)","El Objetivo, radio Aswanqhari, Juliaca al Portal, Agenda Informativa Puno, Nueva Poder Tv, Míralo Aquí, Noticias en Agen"
1,https://www.facebook.com/share/p/18q1YVCxY1/,"(184.7775115966797, 300.56201171875, 263.23260498046875, 310.6852722167969)","hari, Juliaca al Día, Enlace Region a Puno, Nueva Tv Nacional, El Rad icias en Agenda.pe)"
1,https://www.facebook.com/share/p/16mQSk7rMA/,"(268.2942199707031, 300.56201171875, 335.993408203125, 310.6852722167969)","Enlace Regional Puno, Puno No acional, El Radar Vocero, Noticia"
1,https://www.facebook.com/share/p/1CWYESnN2h/,"(341.0550231933594, 300.56201171875, 437.2257995605469, 310.6852722167969)","uno, Puno Noticias.pe, Andina Noticias Vocero, Noticias del Sur Juliaca, radio T"
1,https://www.facebook.com/share/p/1AL3ndaNdH/,"(442.28741455078125, 300.56201171875, 517.5789794921875, 310.6852722167969)","ndina Noticias Puno, radio Ayavir Juliaca, radio Tv Exclusiva, El Gra"
1,https://www.facebook.com/share/p/16LL3kBg81/,"(522.6405639648438, 300.56201171875, 554.2756958007812, 310.6852722167969)","o, radio Ayaviri, El clusiva, El Gran"
1,https://www.facebook.com/share/p/16LL3kBg81/,"(45.58296203613281, 310.6852722167969, 82.91240692138672, 320.8085021972656)","Portal, Agenda In Poder Tv, Míralo"
1,https://www.facebook.com/share/p/1ESL7CzNaC/,"(88.60673522949219, 310.6852722167969, 135.4267120361328, 320.8085021972656)","rtal, Agenda Informativa Pu der Tv, Míralo Aquí, Noticia"
1,https://www.facebook.com/story.php?story_fbid=1235903138545955&id=100063788400466&rdid=D6NeiiRBQAzC2cih,"(140.4883270263672, 310.6852722167969, 233.49559020996094, 320.8085021972656)","Informativa Puno, Nueva Tv Nacional o Aquí, Noticias en Agenda.pe)"
1,https://issuu.com/grupoasi/docs/prensa_chalaca_27-5-2025_-_3384?fr=sY2Q2ODgzNDM5NjQ,"(48.74647521972656, 442.92010498046875, 114.54753112792969, 453.0433349609375)",tuberías. La Sunass recu (Prensa Chalaca)
1,https://www.gob.pe/institucion/contraloria/noticias/1176194-contralor-advierte-deficiencias-en-obras-del-hospital-de-iquitos-y-de-la-ptar-nauta-que-afectan-a-miles-de-ciudadanos,"(48.74647521972656, 520.1097412109375, 94.93376159667969, 530.2329711914062)",obra es reducir enfe (Contraloría)
1,https://diariocorreo.pe/edicion/la-libertad/sedalib-enfrenta-a-alcalde-mario-reyna-y-regidores-la-libertad-trujillo-peru-noticia/,"(518.211669921875, 587.17626953125, 546.0505981445312, 597.2994995117188)",omaestre responda vicios. (Correo)
1,https://macronorte.pe/2025/05/26/alcalde-vecinal-denuncia-que-supervisor-de-sedalib-habria-pedido-dinero-para-comprar-cajas-domiciliarias/,"(48.74647521972656, 638.4251708984375, 95.56645965576172, 648.5484008789062)",dinero a sus vecino (Macronorte)
1,https://prensaregional.pe/sedapar-realiza-mantenimiento-de-tuberia-de-alta-presion-en-calle-huamachuco/,"(317.0122985839844, 689.674072265625, 385.34417724609375, 699.7973022460938)",usca prevenir filtraciones que po otable. (Prensa Regional)
1,https://diariodechimbote.com/2025/05/26/sedachimbote-atendio-aniego-de-dren-agricola-en-la-victoria/,"(452.41064453125, 720.0438232421875, 531.4984741210938, 730.1670532226562)",ote atendió una emergencia causad rícola. (Diario de Chimbote)
